cnssi-1253_high,800-53r5
IH,IA-8(2)
IH,IA-8(4)
IH,IA-9
IH,IA-10
IH,IA-11
IH,IA-12
IH,IA-12(1)
IH,IA-12(2)
IH,IA-12(3)
IH,IA-12(4)
IH,IR-1
IH,IR-2
IH,IR-2(1)
IH,IR-2(2)
IH,IR-3
IH,IR-3(2)
IH,IR-4
IH,IR-4(1)
IH,IR-4(3)
IH,IR-4(4)
IH,IR-4(6)
IH,IR-4(7)
IH,IR-4(8)
IH,IR-4(10)
IH,IR-4(11)
IH,IR-4(12)
IH,IR-4(13)
IH,IR-4(14)
IH,IR-5
IH,IR-5(1)
IH,IR-6
IH,IR-6(1)
IH,IR-6(2)
IH,IR-6(3)
IH,IR-7
IH,IR-7(1)
IH,IR-7(2)
IH,IR-8
IH,MA-1
IH,MA-2
IH,MA-2(2)
IH,MA-3
IH,MA-3(1)
IH,MA-3(2)
IH,MA-3(4)
IH,MA-3(5)
IH,MA-3(6)
IH,MA-4
IH,MA-4(1)
IH,MA-4(3)
IH,MA-4(4)
IH,MA-4(6)
IH,MA-4(7)
IH,MA-5
IH,MA-5(1)
IH,MP-1
IH,MP-2
IH,MP-7
IH,PE-1
IH,PE-2
IH,PE-3
IH,PE-3(1)
IH,PE-4
IH,PE-6
IH,PE-6(1)
IH,PE-6(4)
IH,PE-8
IH,PE-8(1)
IH,PE-16
IH,PE-17
IH,PL-1
IH,PL-2
IH,PL-4
IH,PL-7
IH,PL-8
IH,PL-8(1)
IH,PL-8(2)
IH,PL-9
IH,PL-10
IH,PL-11
IH,PS-1
IH,PS-2
IH,PS-3
IH,PS-4
IH,PS-4(2)
IH,PS-5
IH,PS-6
IH,PS-7
IH,PS-8
IH,PS-9
IH,RA-1
IH,RA-2
IH,RA-3
IH,RA-3(1)
IH,RA-3(2)
IH,RA-3(3)
IH,RA-5
IH,RA-5(2)
IH,RA-5(4)
IH,RA-5(5)
IH,RA-5(10)
IH,RA-5(11)
IH,RA-7
IH,RA-9
IH,RA-10
IH,SA-1
IH,SA-2
IH,SA-3
IH,SA-3(1)
IH,SA-4
IH,SA-4(1)
IH,SA-4(2)
IH,SA-4(3)
IH,SA-4(5)
IH,SA-4(7)
IH,SA-4(9)
IH,SA-4(10)
IH,SA-5
IH,SA-8
IH,SA-8(1)
IH,SA-8(2)
IH,SA-8(3)
IH,SA-8(4)
IH,SA-8(5)
IH,SA-8(6)
IH,SA-8(7)
IH,SA-8(8)
IH,SA-8(9)
IH,SA-8(10)
IH,SA-8(11)
IH,SA-8(12)
IH,SA-8(13)
IH,SA-8(14)
IH,SA-8(15)
IH,SA-8(16)
IH,SA-8(17)
IH,SA-8(18)
IH,SA-8(19)
IH,SA-8(20)
IH,SA-8(21)
IH,SA-8(22)
IH,SA-8(23)
IH,SA-8(24)
IH,SA-8(25)
IH,SA-8(26)
IH,SA-8(27)
IH,SA-8(28)
IH,SA-8(29)
IH,SA-8(30)
IH,SA-8(31)
IH,SA-8(32)
IH,SA-9
IH,SA-9(1)
IH,SA-9(2)
IH,SA-9(3)
IH,SA-9(8)
IH,SA-10
IH,SA-10(1)
IH,SA-10(3)
IH,SA-10(7)
IH,SA-11
IH,SA-11(1)
IH,SA-11(2)
IH,SA-15
IH,SA-15(3)
IH,SA-15(7)
IH,SA-16
IH,SA-17
IH,SA-21
IH,SA-22
IH,SC-1
IH,SC-2
IH,SC-3
IH,SC-7
IH,SC-7(3)
IH,SC-7(4)
IH,SC-7(5)
IH,SC-7(7)
IH,SC-7(8)
IH,SC-7(9)
IH,SC-7(11)
IH,SC-7(12)
IH,SC-7(13)
IH,SC-7(14)
IH,SC-7(15)
IH,SC-7(18)
IH,SC-7(21)
IH,SC-8
IH,SC-8(1)
IH,SC-8(2)
IH,SC-10
IH,SC-12
IH,SC-13
IH,SC-16
IH,SC-16(1)
IH,SC-16(2)
IH,SC-16(3)
IH,SC-17
IH,SC-18
IH,SC-18(1)
IH,SC-18(2)
IH,SC-18(3)
IH,SC-18(4)
IH,SC-20
IH,SC-21
IH,SC-22
IH,SC-23
IH,SC-23(1)
IH,SC-23(3)
IH,SC-23(5)
IH,SC-24
IH,SC-28
IH,SC-28(1)
IH,SC-28(3)
IH,SC-38
IH,SC-39
IH,SC-45
IH,SC-45(1)
IH,SI-1
IH,SI-2
IH,SI-2(2)
IH,SI-2(3)
IH,SI-2(4)
IH,SI-2(6)
IH,SI-3
IH,SI-3(10)
IH,SI-4
IH,SI-4(1)
IH,SI-4(2)
IH,SI-4(4)
IH,SI-4(5)
IH,SI-4(10)
IH,SI-4(11)
IH,SI-4(12)
IH,SI-4(14)
IH,SI-4(15)
IH,SI-4(16)
IH,SI-4(19)
IH,SI-4(20)
IH,SI-4(22)
IH,SI-4(23)
IH,SI-4(24)
IH,SI-4(25)
IH,SI-5
IH,SI-5(1)
IH,SI-6
IH,SI-6(3)
IH,SI-7
IH,SI-7(1)
IH,SI-7(2)
IH,SI-7(5)
IH,SI-7(7)
IH,SI-7(8)
IH,SI-7(9)
IH,SI-7(10)
IH,SI-7(15)
IH,SI-7(17)
IH,SI-8
IH,SI-8(2)
IH,SI-10
IH,SI-10(3)
IH,SI-10(5)
IH,SI-10(6)
IH,SI-11
IH,SI-12
IH,SI-12(3)
IH,SI-15
IH,SI-16
IH,SI-21
IH,SR-1
IH,SR-2
IH,SR-2(1)
IH,SR-3
IH,SR-3(1)
IH,SR-3(2)
IH,SR-3(3)
IH,SR-4
IH,SR-5
IH,SR-5(1)
IH,SR-5(2)
IH,SR-6
IH,SR-6(1)
IH,SR-7
IH,SR-8
IH,SR-9
IH,SR-9(1)
IH,SR-10
IH,SR-11
IH,SR-11(1)
IH,SR-11(2)
IH,SR-12
,Table D-2: Awareness and Training (AT) Family
,AT-2(1)
,AT-3(3)
,AT-3(4)
,AT-3(5)
,AT-5
,Table D-3: Audit and Accountability (AU) Family
,AU-2(1)
,AU-2(2)
,AU-2(3)
,AU-2(4)
,AU-3(2)
,AU-3(3)
,AU-4
,AU-4(1)
,AU-5
,AU-5(1)
,AU-5(2)
,AU-5(3)
,AU-5(4)
,AU-5(5)
,AU-6(2)
,AU-6(7)
,AU-6(8)
,AU-6(9)
,AU-6(10)
,AU-7(2)
,AU-8(1)
,AU-8(2)
,AU-9(1)
,AU-9(7)
,AU-10(1)
,AU-10(2)
,AU-10(3)
,AU-10(4)
,AU-10(5)
,AU-11
,AU-11(1)
,AU-12(2)
,AU-12(4)
,AU-13
,AU-13(1)
,AU-13(2)
,AU-13(3)
,AU-14(2)
,AU-14(3)
,AU-15
,AU-16(3)
,"Table D-4: Assessment, Authorization, and Monitoring (CA) Family"
,CA-2(3)
,CA-3(1)
,CA-3(2)
,CA-3(3)
,CA-3(4)
,CA-3(5)
,CA-3(7)
,CA-4
,CA-5(1)
,CA-6(1)
,CA-6(2)
,CA-7(2)
,CA-8(2)
,CA-9(1)
,Table D-5: Configuration Management (CM) Family
,CM-2(1)
,CM-2(4)
,CM-2(5)
,CM-2(6)
,CM-3(3)
,CM-5(2)
,CM-5(3)
,CM-5(4)
,CM-5(7)
,CM-6(3)
,CM-6(4)
,CM-7(4)
,CM-7(6)
,CM-7(7)
,CM-8(5)
,CM-8(6)
,CM-8(7)
,CM-8(8)
,CM-8(9)
,CM-9(1)
,CM-11(1)
,CM-11(3)
,CM-13
,Table D-6: Contingency Planning (CP) Family
,CP-2
,CP-2(1)
,CP-2(2)
,CP-2(3)
,CP-2(4)
,CP-2(5)
,CP-2(6)
,CP-2(7)
,CP-2(8)
,CP-3
,CP-3(1)
,CP-3(2)
,CP-4
,CP-4(1)
,CP-4(2)
,CP-4(3)
,CP-4(4)
,CP-4(5)
,CP-5
,CP-6
,CP-6(1)
,CP-6(2)
,CP-6(3)
,CP-7
,CP-7(1)
,CP-7(2)
,CP-7(3)
,CP-7(4)
,CP-7(5)
,CP-7(6)
,CP-8
,CP-8(1)
,CP-8(2)
,CP-8(3)
,CP-8(4)
,CP-8(5)
,CP-9(2)
,CP-9(3)
,CP-9(4)
,CP-9(5)
,CP-9(6)
,CP-9(7)
,CP-10
,CP-10(1)
,CP-10(2)
,CP-10(3)
,CP-10(4)
,CP-10(5)
,CP-10(6)
,CP-11
,CP-12
,CP-13
,Table D-7: Identification and Authentication (IA) Family
,IA-2(3)
,IA-2(4)
,IA-2(7)
,IA-2(9)
,IA-2(10)
,IA-2(11)
,IA-2(13)
,IA-3(2)
,IA-3(3)
,IA-3(4)
,IA-4(1)
,IA-4(2)
,IA-4(3)
,IA-4(5)
,IA-4(6)
,IA-4(7)
,IA-4(8)
,IA-5(3)
,IA-5(4)
,IA-5(5)
,IA-5(7)
,IA-5(9)
,IA-5(10)
,IA-5(11)
,IA-5(12)
,IA-5(15)
,IA-5(17)
,IA-5(18)
,IA-6
,IA-8(3)
,IA-8(5)
,IA-8(6)
,IA-9(1)
,IA-9(2)
,IA-12(6)
,Table D-8: Incident Response (IR) Family
,IR-2(3)
,IR-3(1)
,IR-3(3)
,IR-4(2)
,IR-4(5)
,IR-4(9)
,IR-4(15)
,IR-8(1)
,IR-9
,IR-9(1)
,IR-9(2)
,IR-9(3)
,IR-9(4)
,IR-10
,Table D-9: Maintenance (MA) Family
,MA-2(1)
,MA-3(3)
,MA-4(2)
,MA-4(5)
,MA-5(2)
,MA-5(3)
,MA-5(4)
,MA-5(5)
,MA-6
,MA-6(1)
,MA-6(2)
,MA-6(3)
,MA-7
,Table D-10: Media Protection (MP) Family
,MP-2(1)
,MP-2(2)
,MP-3
,MP-4
,MP-4(1)
,MP-4(2)
,MP-5
,MP-5(1)
,MP-5(2)
,MP-5(3)
,MP-5(4)
,MP-6
,MP-6(1)
,MP-6(2)
,MP-6(3)
,MP-6(4)
,MP-6(5)
,MP-6(6)
,MP-6(7)
,MP-6(8)
,MP-7(1)
,MP-7(2)
,MP-8
,MP-8(1)
,MP-8(2)
,MP-8(3)
,MP-8(4)
,Table D-11: Physical and Environmental Protection (PE) Family
,PE-2(1)
,PE-2(2)
,PE-2(3)
,PE-3(2)
,PE-3(3)
,PE-3(4)
,PE-3(5)
,PE-3(6)
,PE-3(7)
,PE-3(8)
,PE-5
,PE-5(1)
,PE-5(2)
,PE-5(3)
,PE-6(2)
,PE-6(3)
,PE-7
,PE-8(2)
,PE-8(3)
,PE-9
,PE-9(1)
,PE-9(2)
,PE-10
,PE-10(1)
,PE-11
,PE-11(1)
,PE-11(2)
,PE-12
,PE-12(1)
,PE-13
,PE-13(1)
,PE-13(2)
,PE-13(3)
,PE-13(4)
,PE-14
,PE-14(1)
,PE-14(2)
,PE-15
,PE-15(1)
,PE-18
,PE-18(1)
,PE-19
,PE-19(1)
,PE-20
,PE-21
,PE-22
,PE-23
,Table D-12: Planning (PL) Family
,PL-2(1)
,PL-2(2)
,PL-2(3)
,PL-3
,PL-4(1)
,PL-5
,PL-6
,Table D-13: Program Management (PM) Family
,PM-1
,PM-2
,PM-3
,PM-4
,PM-5
,PM-5(1)
,PM-6
,PM-7
,PM-7(1)
,PM-8
,PM-9
,PM-10
,PM-11
,PM-12
,PM-13
,PM-14
,PM-15
,PM-16
,PM-16(1)
,PM-17
,PM-18
,PM-19
,PM-20
,PM-20(1)
,PM-21
,PM-22
,PM-23
,PM-24
,PM-25
,PM-26
,PM-27
,PM-28
,PM-29
,PM-30
,PM-30(1)
,PM-31
,PM-32
,Table D-14: Personnel Security (PS) Family
,PS-3(1)
,PS-3(2)
,PS-3(3)
,PS-3(4)
,PS-4(1)
,PS-6(1)
,PS-6(2)
,PS-6(3)
,Table D-15: Personally Identifiable Information Processing and Transparency (PT) Family
,PT-1
,PT-2
,PT-2(1)
,PT-2(2)
,PT-3
,PT-3(1)
,PT-3(2)
,PT-4
,PT-4(1)
,PT-4(2)
,PT-4(3)
,PT-5
,PT-5(1)
,PT-5(2)
,PT-6
,PT-6(1)
,PT-6(2)
,PT-7
,PT-7(1)
,PT-7(2)
,PT-8
,Table D-16: Risk Assessment (RA) Family
,RA-2(1)
,RA-3(4)
,RA-4
,RA-5(1)
,RA-5(3)
,RA-5(6)
,RA-5(7)
,RA-5(8)
,RA-5(9)
,RA-6
,RA-8
,Table D-17: System and Services Acquisition (SA) Family
,SA-3(2)
,SA-3(3)
,SA-4(4)
,SA-4(6)
,SA-4(8)
,SA-4(11)
,SA-4(12)
,SA-5(1)
,SA-5(2)
,SA-5(3)
,SA-5(4)
,SA-5(5)
,SA-6
,SA-7
,SA-8(33)
,SA-9(4)
,SA-9(5)
,SA-9(6)
,SA-9(7)
,SA-10(2)
,SA-10(4)
,SA-10(5)
,SA-10(6)
,SA-11(3)
,SA-11(4)
,SA-11(5)
,SA-11(6)
,SA-11(7)
,SA-11(8)
,SA-11(9)
,SA-12
,SA-12(1)
,SA-12(2)
,SA-12(3)
,SA-12(4)
,SA-12(5)
,SA-12(6)
,SA-12(7)
,SA-12(8)
,SA-12(9)
,SA-12(10)
,SA-12(11)
,SA-12(12)
,SA-12(13)
,SA-12(14)
,SA-12(15)
,SA-13
,SA-14
,SA-14(1)
,SA-15(1)
,SA-15(2)
,SA-15(4)
,SA-15(5)
,SA-15(6)
,SA-15(8)
,SA-15(9)
,SA-15(10)
,SA-15(11)
,SA-15(12)
,SA-17(1)
,SA-17(2)
,SA-17(3)
,SA-17(4)
,SA-17(5)
,SA-17(6)
,SA-17(7)
,SA-17(8)
,SA-17(9)
,SA-18
,SA-18(1)
,SA-18(2)
,SA-19
,SA-19(1)
,SA-19(2)
,SA-19(3)
,SA-19(4)
,SA-20
,SA-21(1)
,SA-22(1)
,SA-23
,Table D-18: System and Communications Protection (SC) Family
,SC-2(1)
,SC-2(2)
,SC-3(1)
,SC-3(2)
,SC-3(3)
,SC-3(4)
,SC-3(5)
,SC-4
,SC-4(1)
,SC-4(2)
,SC-5
,SC-5(1)
,SC-5(2)
,SC-5(3)
,SC-6
,SC-7(1)
,SC-7(2)
,SC-7(6)
,SC-7(10)
,SC-7(16)
,SC-7(17)
,SC-7(19)
,SC-7(20)
,SC-7(22)
,SC-7(23)
,SC-7(24)
,SC-7(25)
,SC-7(26)
,SC-7(27)
,SC-7(28)
,SC-7(29)
,SC-8(3)
,SC-8(4)
,SC-8(5)
,SC-9
,SC-11
,SC-11(1)
,SC-12(1)
,SC-12(2)
,SC-12(3)
,SC-12(4)
,SC-12(5)
,SC-12(6)
,SC-13(1)
,SC-13(2)
,SC-13(3)
,SC-13(4)
,SC-14
,SC-15
,SC-15(1)
,SC-15(2)
,SC-15(3)
,SC-15(4)
,
,
,SC-18(5)
,SC-19
,SC-20(1)
,SC-20(2)
,SC-21(1)
,SC-23(2)
,SC-23(4)
,SC-25
,SC-26
,SC-26(1)
,SC-27
,SC-28(2)
,SC-29
,SC-29(1)
,SC-30
,SC-30(1)
,SC-30(2)
,SC-30(3)
,SC-30(4)
,SC-30(5)
,SC-31
,SC-31(1)
,SC-31(2)
,SC-31(3)
,SC-32
,SC-32(1)
,SC-33
,SC-34
,SC-34(1)
,SC-34(2)
,SC-34(3)
,SC-35
,SC-36
,SC-36(1)
,SC-36(2)
,SC-37
,SC-37(1)
,SC-39(1)
,SC-39(2)
,SC-40
,SC-40(1)
,SC-40(2)
,SC-40(3)
,SC-40(4)
,SC-41
,SC-42
,SC-42(1)
,SC-42(2)
,SC-42(3)
,SC-42(4)
,SC-42(5)
,SC-43
,SC-44
,SC-45(2)
,SC-46
,SC-47
,SC-48
,SC-48(1)
,SC-49
,SC-50
,SC-51
,Table D-19: System and Information Integrity (SI) Family
,SI-2(1)
,SI-2(5)
,SI-3(1)
,SI-3(2)
,SI-3(3)
,SI-3(4)
,SI-3(5)
,SI-3(6)
,SI-3(7)
,SI-3(8)
,SI-3(9)
,SI-4(3)
,SI-4(6)
,SI-4(7)
,SI-4(8)
,SI-4(9)
,SI-4(13)
,SI-4(17)
,SI-4(18)
,SI-4(21)
,SI-6(1)
,SI-6(2)
,SI-7(3)
,SI-7(4)
,SI-7(6)
,SI-7(11)
,SI-7(12)
,SI-7(13)
,SI-7(14)
,SI-7(16)
,SI-8(1)
,SI-8(3)
,SI-9
,SI-10(1)
,SI-10(2)
,SI-10(4)
,SI-12(1)
,SI-12(2)
,SI-13
,SI-13(1)
,SI-13(2)
,SI-13(3)
,SI-13(4)
,SI-13(5)
,SI-14
,SI-14(1)
,SI-14(2)
,SI-14(3)
,SI-17
,SI-18
,SI-18(1)
,SI-18(2)
,SI-18(3)
,SI-18(4)
,SI-18(5)
,SI-19
,SI-19(1)
,SI-19(2)
,SI-19(3)
,SI-19(4)
,SI-19(5)
,SI-19(6)
,SI-19(7)
,SI-19(8)
,SI-20
,SI-22
,SI-23
,SR-4(1)
,SR-4(2)
,SR-4(3)
,SR-4(4)
,SR-11(3)
